variant	profile	feature	example	sha256	bytes	text	data	bss	total
control	release	static	profile_loopback	5a5c8ed857bf095e7e70ed7e0d05b8c317fcac3f65a21a7d14d405879ca0da97	7882488	524899	20440	336	545675
control	release-lto	static	profile_loopback	57cc9e08197c3798be3776a4af50fb6fe716dc5de574d3bd71291eb99f54528a	3181872	443543	14736	264	458543
control	release	dynamic	profile_loopback	9f9b0df4a3c0833cdf71d3a7d5bbbe74a3a9d99f3694560d5714fb21796fa4d4	10755024	705122	22656	400	728178
control	release-lto	dynamic	profile_loopback	2e84eff310714d095774f280bb97233eaa457c1fdc541f7a355dfdbf63b171cc	4272744	589247	16888	336	606471
control	release	dynamic	dynbuf_memcompare	39473d71646e29e87848ec9ac4bf56a66fd15d1f0704dc9938ec45b8333fe91f	6353184	342554	12680	296	355530
candidate	release	static	profile_loopback	81b0cd2d4b0d900b9bf74207792f72ee19c2cf9db63ffd88b3f8e90bdee0f9a3	7903920	520391	20200	336	540927
candidate	release-lto	static	profile_loopback	c6fe70384d2af852c3fd31fe17b0602144e4c6b8a7cb382ecbb0280f6c0ec2ae	3185592	444447	14520	264	459231
candidate	release	dynamic	profile_loopback	30d5de818ca7e66d2234a642eaa5f9919d8eb3dc3ed211e3c5cea0089469f2cf	10784696	708790	22512	400	731702
candidate	release-lto	dynamic	profile_loopback	c68c4c90b67bf3f5731c909cce6db0fe32f835d403fb5a53e5faf305457dedbd	4271144	588631	16672	336	605639
candidate	release	dynamic	dynbuf_memcompare	23b0c04bef8a5e20a7ade7018a9b3920d5bd4d822944cf464992612631dd9b71	6374016	341438	12576	296	354310
