suite	build_profile	feature	cell	metric	pairs	work_control_median	work_candidate_median	paired_work_delta_pct	rss_end_control_median	rss_end_candidate_median	paired_rss_end_delta	paired_rss_end_pct	rss_end_recurrence	rss_peak_control_median	rss_peak_candidate_median	paired_rss_peak_delta	paired_rss_peak_pct	rss_peak_recurrence	alloc_bytes_control_median	alloc_bytes_candidate_median	net_heap_control_median	net_heap_candidate_median	alloc_count_control_median	alloc_count_candidate_median	pool_start_candidate_median	pool_steady_control_median	pool_steady_candidate_median	pool_budget_candidate_max	pool_after_candidate_max	pool_post_create_candidate_max	requested_peak_growth_control_median	requested_peak_growth_candidate_median	requested_peak_bound_candidate_min	candidate_jain_min	candidate_zero_flows_max	candidate_low_flows_max	candidate_fallback_max	candidate_trace_bounded	primary_flags	confirmation_pairs	confirmation_work_delta_pct	confirmation_rss_end_delta	confirmation_rss_peak_delta	verdict
release	release	static	udp-software	throughput	5	14.771000	14.929000	0.315818	3657728	3657728	4096	0.111982	0	3657728	3657728	4096	0.111982	0	4064	4064	0	0	7	7													0							pass
release	release	static	udp-offload	throughput	5	21.902000	22.247000	1.772444	3657728	3657728	0	0	0	3657728	3657728	0	0	0	4064	4064	0	0	7	7													0							pass
release	release	static	firehose-software	throughput	5	0.476000	14.800000	3009.243697	3555328	3555328	0	0	0	3555328	3555328	0	0	0	4064	4064	0	0	7	7													0							pass
release	release	static	firehose-offload	throughput	5	20.377000	21.127000	2.759921	3555328	3555328	0	0	0	3555328	3555328	0	0	0	4064	4064	0	0	7	7													0							pass
release	release	static	pingpong-software	throughput	5	0.995000	1.044000	4.924623	2949120	2949120	0	0	0	2949120	2949120	0	0	0	4064	4064	0	0	7	7													0							pass
release	release	static	pingpong-offload	throughput	5	1.157000	1.178000	1.903114	2949120	2949120	0	0	0	2949120	2949120	0	0	0	4064	4064	0	0	7	7													0							pass
release	release	static	small-software	throughput	5	0.851000	0.993000	16.686251	2899968	2899968	0	0	0	2899968	2899968	0	0	0	4064	4064	0	0	7	7													0							pass
release	release	static	small-offload	throughput	5	1.097000	1.105000	0.729262	2899968	2899968	4096	0.141243	0	2899968	2899968	4096	0.141243	0	4064	4064	0	0	7	7													0							pass
release	release	static	many_tcp-8-software	throughput	5	1.004000	1.161000	15.407555	5455872	5455872	4096	0.075075	0	5455872	5455872	4096	0.075075	0	5600	5600	1536	1536	8	8										1	0	0	0	true						pass
release	release	static	many_tcp-8-offload	throughput	5	1.309000	1.338000	2.215432	5455872	5455872	0	0	0	5455872	5455872	0	0	0	5600	5600	1536	1536	8	8										1	0	0	0	true						pass
