suite	build_profile	feature	cell	metric	pairs	work_control_median	work_candidate_median	paired_work_delta_pct	rss_end_control_median	rss_end_candidate_median	paired_rss_end_delta	paired_rss_end_pct	rss_end_recurrence	rss_peak_control_median	rss_peak_candidate_median	paired_rss_peak_delta	paired_rss_peak_pct	rss_peak_recurrence	alloc_bytes_control_median	alloc_bytes_candidate_median	net_heap_control_median	net_heap_candidate_median	alloc_count_control_median	alloc_count_candidate_median	pool_start_candidate_median	pool_steady_control_median	pool_steady_candidate_median	pool_budget_candidate_max	pool_after_candidate_max	pool_post_create_candidate_max	requested_peak_growth_control_median	requested_peak_growth_candidate_median	requested_peak_bound_candidate_min	candidate_jain_min	candidate_zero_flows_max	candidate_low_flows_max	candidate_fallback_max	candidate_trace_bounded	primary_flags	confirmation_pairs	confirmation_work_delta_pct	confirmation_rss_end_delta	confirmation_rss_peak_delta	verdict
shipping	release-lto	static	small-offload	throughput	5	1.376000	1.392000	1.162791	2715648	2744320	28672	1.055807	4	2715648	2744320	28672	1.055807	4	4064	4064	0	0	7	7													0		rss_end median +28672 bytes/1.056% recurred 4/5; rss_peak median +28672 bytes/1.056% recurred 4/5	10	1.642456	0	0	pass (10-pair confirmation)
shipping	release-lto	static	udp-offload	throughput	5	27.873000	27.928000	0.653970	3502080	3506176	4096	0.116959	0	3502080	3506176	4096	0.116959	0	4064	4064	0	0	7	7													0							pass
shipping	release-lto	static	many_udp-100-software	throughput	5	5.335000	5.434000	2.118088	7213056	7221248	4096	0.056786	0	7213056	7221248	4096	0.056786	0	5600	5600	1536	1536	8	8										1	0	0	0	true						pass
shipping	release-lto	static	firehose-offload	throughput	5	28.208000	28.541000	2.165664	3330048	3338240	4096	0.122850	0	3330048	3338240	4096	0.122850	0	4064	4064	0	0	7	7													0							pass
shipping	release-lto	static	udp-software	throughput	5	17.787000	18.008000	1.763110	3502080	3506176	4096	0.116959	0	3502080	3506176	4096	0.116959	0	4064	4064	0	0	7	7													0							pass
shipping	release-lto	dynamic	multi_tcp-2-50-software	throughput	5	5.646000	5.806000	5.267688	14790656	13778944	-1011712	-6.840210	0	14790656	13778944	-1011712	-6.840210	0	6520832	4915200	3948544	3276800	482	400	1600	5586944	4915200	6553600	0		3956736	3284992	13107200	0.998900			0							pass
shipping	release-lto	dynamic	multi_tcp-2-50-offload	throughput	5	7.199000	7.330000	3.677511	13778944	13774848	-4096	-0.029727	0	13778944	13774848	-4096	-0.029727	0	4915200	4915200	3276800	3276800	400	400	1600	4915200	4915200	6553600	0		3284992	3284992	13107200	0.999800			0							pass
shipping	release-lto	dynamic	multi_tcp_sink-2-50-software	throughput	5	13.920000	14.538000	4.523706	12746752	12140544	-606208	-4.761905	0	12746752	12140544	-606208	-4.761905	0	3358720	2457600	2088960	1638400	255	200	1600	3727360	3276800	6553600	0		2097152	1654784	13107200	0.999900			0							pass
shipping	release-lto	dynamic	multi_tcp_sink-2-50-offload	throughput	5	17.089000	17.658000	2.525692	12140544	12140544	0	0	0	12140544	12140544	0	0	0	2457600	2457600	1638400	1638400	200	200	1600	3276800	3276800	6553600	0		1646592	1646592	13107200	0.999900			0							pass
shipping	release-lto	dynamic	churn-500-software	opened	5	1500	1500	0.000000	15597568	15597568	-4096	-0.026261	0	15597568	15597568	-4096	-0.026261	0	61440000	61440000	0	0	6000	6000	0	0	0	16777216	0		172032	172032	33554432				0	true						pass
shipping	release-lto	dynamic	churn-500-offload	opened	5	1500	1500	0.000000	15597568	15597568	4096	0.026267	0	15597568	15597568	4096	0.026267	0	61440000	61440000	0	0	6000	6000	0	0	0	16777216	0		172032	172032	33554432				0	true						pass
shipping	release-lto	dynamic	rst_unread_rx-100-software	invariant	5				10522624	10526720	4096	0.038926	0	10522624	10526720	4096	0.038926	0	0	0	0	0	0	0	1600	1638400	1638400	13107200	0		0	0	26214400				0	true						pass
shipping	release-lto	dynamic	rst_unread_rx-100-offload	invariant	5				10530816	10526720	0	0	0	10530816	10526720	0	0	0	0	0	0	0	0	0	1600	1638400	1638400	13107200	0		0	0	26214400				0	true						pass
shipping	release-lto	dynamic	pool_pressure-50-software	throughput	5	10.036000	9.675000	-0.195998	6639616	6639616	0	0	0	6639616	6639616	0	0	0	0	0	0	0	0	0	1200	1228800	1228800	1228800	0		0	0	2457600	1	0	0	0	true						pass
shipping	release-lto	dynamic	pool_pressure-50-offload	throughput	5	13.246000	13.386000	1.021489	6639616	6639616	0	0	0	6639616	6639616	0	0	0	0	0	0	0	0	0	1200	1228800	1228800	1228800	0		0	0	2457600	1	0	0	0	true						pass
shipping	release-lto	dynamic	mixed_tcp_udp-50-50-software	throughput	5	4.155000	4.258000	2.647413	9777152	9428992	-352256	-3.605870	0	9777152	9428992	-352256	-3.605870	0	1703936	1228800	1056768	819200	129	100	800	1875968	1638400	6553600	0		1064960	827392	13107200	1	0	0	0	true						pass
shipping	release-lto	dynamic	mixed_tcp_udp-50-50-offload	throughput	5	4.607000	4.804000	3.431977	9420800	9428992	8192	0.086957	0	9420800	9428992	8192	0.086957	0	1228800	1228800	819200	819200	100	100	800	1638400	1638400	6553600	0		827392	827392	13107200	1	0	0	0	true						pass
shipping	release-lto	dynamic	idle_hot-1000-0-software	throughput	5	0	0		3551232	3551232	0	0	0	3551232	3551232	0	0	0	0	0	0	0	0	0	0	0	0	65536	0	0	0	0	131072				0	true						pass
shipping	release-lto	dynamic	idle_hot-1000-0-offload	throughput	5	0	0		3551232	3551232	0	0	0	3551232	3551232	0	0	0	0	0	0	0	0	0	0	0	0	65536	0	0	0	0	131072				0	true						pass
shipping	release-lto	dynamic	idle_hot-1000-10-software	throughput	5	1.245000	1.288000	3.453815	4583424	4452352	-131072	-2.859696	0	4583424	4452352	-131072	-2.859696	0	655360	491520	409600	327680	50	40	160	573440	491520	1376256	0	0	417792	335872	2752512	1	0	0	0	true						pass
shipping	release-lto	dynamic	idle_hot-1000-10-offload	throughput	5	1.329000	1.305000	-3.118040	4452352	4452352	0	0	0	4452352	4452352	0	0	0	491520	491520	327680	327680	40	40	160	491520	491520	1376256	0	0	335872	335872	2752512	1	0	0	0	true	throughput -3.118% < -2%	10	0.738408	0	0	pass (10-pair confirmation)
