shape	pair	variant	throughput_gbps	rss_start	rss_end	rss_delta	rss_peak
firehose-offload	0	baseline	28.787	2805760	3338240	+532480	3338240
firehose-offload	0	candidate	29.195	2801664	3334144	+532480	3334144
firehose-offload	1	baseline	29.743	2805760	3338240	+532480	3338240
firehose-offload	1	candidate	29.588	2801664	3334144	+532480	3334144
firehose-offload	2	candidate	29.566	2805760	3338240	+532480	3338240
firehose-offload	2	baseline	29.826	2805760	3338240	+532480	3338240
firehose-offload	3	baseline	29.805	2805760	3338240	+532480	3338240
firehose-offload	3	candidate	29.637	2801664	3334144	+532480	3334144
firehose-offload	4	candidate	29.818	2805760	3338240	+532480	3338240
firehose-offload	4	baseline	30.104	2805760	3338240	+532480	3338240
firehose-offload	5	baseline	29.997	2805760	3338240	+532480	3338240
firehose-offload	5	candidate	29.629	2805760	3338240	+532480	3338240
small-software	0	baseline	1.281	2740224	2748416	+8192	2748416
small-software	0	candidate	1.305	2736128	2744320	+8192	2744320
small-software	1	baseline	1.288	2723840	2732032	+8192	2732032
small-software	1	candidate	1.310	2740224	2748416	+8192	2748416
small-software	2	candidate	1.310	2727936	2736128	+8192	2736128
small-software	2	baseline	1.298	2740224	2748416	+8192	2748416
small-software	3	baseline	1.273	2736128	2744320	+8192	2744320
small-software	3	candidate	1.285	2736128	2744320	+8192	2744320
small-software	4	candidate	1.304	2732032	2740224	+8192	2740224
small-software	4	baseline	1.293	2740224	2748416	+8192	2748416
small-software	5	baseline	1.291	2740224	2748416	+8192	2748416
small-software	5	candidate	1.304	2732032	2740224	+8192	2740224
many-udp-8-software	0	baseline	8.221	3035136	3039232	+4096	3039232
many-udp-8-software	0	candidate	8.267	3039232	3043328	+4096	3043328
many-udp-8-software	1	baseline	8.264	3043328	3047424	+4096	3047424
many-udp-8-software	1	candidate	8.209	3043328	3047424	+4096	3047424
many-udp-8-software	2	candidate	8.217	3043328	3047424	+4096	3047424
many-udp-8-software	2	baseline	8.254	3031040	3035136	+4096	3035136
many-udp-8-software	3	baseline	8.189	3039232	3043328	+4096	3043328
many-udp-8-software	3	candidate	8.225	3043328	3047424	+4096	3047424
many-udp-8-software	4	candidate	8.255	3043328	3047424	+4096	3047424
many-udp-8-software	4	baseline	8.221	3043328	3047424	+4096	3047424
many-udp-8-software	5	baseline	8.259	3039232	3043328	+4096	3043328
many-udp-8-software	5	candidate	8.250	3035136	3039232	+4096	3039232
many-udp-50-software	0	baseline	6.657	4747264	4751360	+4096	4751360
many-udp-50-software	0	candidate	6.568	4747264	4751360	+4096	4751360
many-udp-50-software	1	baseline	6.492	4730880	4734976	+4096	4734976
many-udp-50-software	1	candidate	6.627	4734976	4739072	+4096	4739072
many-udp-50-software	2	candidate	6.651	4743168	4747264	+4096	4747264
many-udp-50-software	2	baseline	6.655	4747264	4751360	+4096	4751360
many-udp-50-software	3	baseline	6.691	4730880	4734976	+4096	4734976
many-udp-50-software	3	candidate	6.687	4739072	4743168	+4096	4743168
many-udp-50-software	4	candidate	6.687	4743168	4747264	+4096	4747264
many-udp-50-software	4	baseline	6.657	4739072	4743168	+4096	4743168
many-udp-50-software	5	baseline	6.677	4747264	4751360	+4096	4751360
many-udp-50-software	5	candidate	6.686	4747264	4751360	+4096	4751360
many-udp-100-offload	0	baseline	7.186	7208960	7221248	+12288	7221248
many-udp-100-offload	0	candidate	7.230	7208960	7221248	+12288	7221248
many-udp-100-offload	1	baseline	7.164	7208960	7221248	+12288	7221248
many-udp-100-offload	1	candidate	7.208	7192576	7204864	+12288	7204864
many-udp-100-offload	2	candidate	7.153	7192576	7204864	+12288	7204864
many-udp-100-offload	2	baseline	7.018	7204864	7217152	+12288	7217152
many-udp-100-offload	3	baseline	7.033	7208960	7221248	+12288	7221248
many-udp-100-offload	3	candidate	7.202	7208960	7221248	+12288	7221248
many-udp-100-offload	4	candidate	7.207	7208960	7221248	+12288	7221248
many-udp-100-offload	4	baseline	7.135	7204864	7217152	+12288	7217152
many-udp-100-offload	5	baseline	6.969	7208960	7221248	+12288	7221248
many-udp-100-offload	5	candidate	7.120	7208960	7221248	+12288	7221248
