shape	pair	throughput_ratio	baseline_gbps	candidate_gbps	rss_start_diff	rss_end_diff	rss_delta_diff	rss_peak_diff
firehose-offload	1	1.005013	21.542	21.650	49152	49152	0	49152
firehose-offload	2	0.991816	21.628	21.451	53248	53248	0	53248
firehose-offload	3	1.004076	21.592	21.680	49152	49152	0	49152
firehose-offload	4	1.015432	21.255	21.583	45056	45056	0	45056
firehose-offload	5	0.994700	21.134	21.022	45056	45056	0	45056
many-udp-100-offload	1	0.987899	5.206	5.143	65536	65536	0	65536
many-udp-100-offload	2	1.008147	5.155	5.197	53248	53248	0	53248
many-udp-100-offload	3	0.995566	5.187	5.164	36864	36864	0	36864
many-udp-100-offload	4	0.986173	5.135	5.064	49152	49152	0	49152
many-udp-100-offload	5	1.012367	5.094	5.157	49152	49152	0	49152
many-udp-50-software	1	0.996342	4.921	4.903	53248	53248	0	53248
many-udp-50-software	2	1.010731	4.939	4.992	45056	45056	0	45056
many-udp-50-software	3	0.988228	4.927	4.869	53248	53248	0	53248
many-udp-50-software	4	0.990694	4.943	4.897	49152	49152	0	49152
many-udp-50-software	5	1.011801	4.915	4.973	53248	53248	0	53248
many-udp-8-software	1	0.999130	5.750	5.745	49152	49152	0	49152
many-udp-8-software	2	1.009823	5.701	5.757	49152	49152	0	49152
many-udp-8-software	3	1.006114	5.725	5.760	45056	45056	0	45056
many-udp-8-software	4	1.003694	5.685	5.706	49152	49152	0	49152
many-udp-8-software	5	1.005241	5.724	5.754	57344	57344	0	57344
small-software	1	1.011858	1.012	1.024	53248	53248	0	53248
small-software	2	1.007897	1.013	1.021	32768	32768	0	32768
small-software	3	1.013889	1.008	1.022	49152	49152	0	49152
small-software	4	1.013793	1.015	1.029	49152	49152	0	49152
small-software	5	1.002953	1.016	1.019	49152	49152	0	49152
