shape	pair	variant	throughput_gbps	rss_start	rss_end	rss_delta	rss_peak
many-udp-8-offload	0	baseline	7.026	3145728	3149824	+4096	3149824
many-udp-8-offload	0	candidate	7.235	3133440	3137536	+4096	3137536
many-udp-8-offload	1	baseline	7.119	3145728	3149824	+4096	3149824
many-udp-8-offload	1	candidate	7.250	3174400	3178496	+4096	3178496
many-udp-8-offload	2	candidate	7.219	3170304	3174400	+4096	3174400
many-udp-8-offload	2	baseline	7.138	3141632	3145728	+4096	3145728
many-udp-8-offload	3	baseline	7.058	3145728	3149824	+4096	3149824
many-udp-8-offload	3	candidate	7.142	3174400	3178496	+4096	3178496
many-udp-8-offload	4	candidate	7.137	3162112	3166208	+4096	3166208
many-udp-8-offload	4	baseline	7.154	3133440	3137536	+4096	3137536
many-udp-8-offload	5	baseline	7.040	3125248	3129344	+4096	3129344
many-udp-8-offload	5	candidate	7.247	3174400	3178496	+4096	3178496
